respID,Gender,Ethnicity,Q3TeachBioinfor,Q5MoreCourses,Q6BioinfoCourses,Q7FacedBarriers,Q24CURE_SURE,Q31TeachUG,QID1,I lack expertise in bioinformatics,I lack experience in teaching bioinformatics....42,I lack time to restructure course(s),I lack the autonomy to add content to my course(s)....44,I lack space in my course(s) to add content....45,I lack curricular materials....46,I lack appropriate technical resources (internet access/software/hardware/IT support)....47,My student population lacks access to appropriate technical resources (internet access/software/hardware/IT support)....48,My student population lacks prerequisite skills.,My student population lacks interest in bioinformatics....50,I lack expertise in bioinformatics.,I lack experience in teaching bioinformatics....54,I lack time to restructure course(s).,I lack the autonomy to add content to my course(s)....56,I lack space in my course(s) to add content....57,I lack curricular materials....58,I lack appropriate technical resources (internet access/software/hardware/IT support)....59,My student population lacks access to appropriate technical resources (internet access/software/hardware/IT support)....60,My student population lacks prerequisite skills,My student population lacks interest in bioinformatics....62,BASIC2018_bins_text.Current,BASIC2018_bins.Current,BASIC2018_bins_text.TerminalDegree,URM,MSI.Current,HBCU.Current,HSI.Current,Q14 In which year did you earn your highest academic degree?,Q12 Which of the following best describes your level of bioinformatics training? Select ALL that apply.,MSI_text.Current,HSI_text.Current,HBCU_text.Current,SIZESET2018_bins_text.Current,CONTROL_text.Current,Q33 Which of the following represents your highest academic degree?
R138,M,Western European,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Maybe,NA,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,Moderate challenge,Moderate challenge,Moderate challenge,Moderate challenge,Severe challenge,Moderate challenge,Moderate challenge,Moderate challenge,Severe challenge,Moderate challenge,Associate's Colleges,1,NA,non-URM,0,2,0,2000-2009,"no training/experience,self-taught,undergraduate course(s)",No,No,No,Medium,Public,"Masters degree or equivalent (e.g., MS, MBA, MA, etc)"
R140,M,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year),I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Maybe,a bioinformatics-specific course,No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,1980-1989,"self-taught,workshops or bootcamp",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R142,M,Western European,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in a lower-level courses (1st/2nd year),I teach a dedicated lower-level (1st/2nd) bioinformatics course(s)",Yes,"a bioinformatics-specific course,a bioinformatics certificate",Yes,neither,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,Moderate challenge,Moderate challenge,Severe challenge,NA,NA,NA,NA,Moderate challenge,Severe challenge,NA,Associate's Colleges,1,Doctoral/Professional Universities,non-URM,1,2,1,2000-2009,"self-taught,workshops or bootcamp",Yes,Yes,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R144,M,Hispanic,I do not include bioinformatics in my teaching and do not plan to do so,Maybe,NA,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,URM,0,2,0,1990-1999,self-taught,No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R146,F,Western European,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Yes,"a bioinformatics-specific course,a bioinformatics major",No,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,no training/experience,No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R147,M,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year)",Maybe,NA,Yes,neither,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,NA,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,Moderate challenge,Moderate challenge,NA,NA,Moderate challenge,NA,Severe challenge,NA,Severe challenge,Severe challenge,Master's Colleges & Universities,4,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,"self-taught,online course(s) (i.e., Coursera)",No,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R148,M,Hispanic,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,a bioinformatics-specific course,Yes,"yes, part of a CURE,yes, part of a SURE",yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,Minor challenge,Minor challenge,Moderate challenge,NA,Severe challenge,NA,Moderate challenge,Moderate challenge,Minor challenge,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp,online course(s) (i.e., Coursera),undergraduate course(s)",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R150,F,Native American,I do not include bioinformatics in my teaching and do not plan to do so,NA,NA,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,NA,URM,0,2,0,NA,NA,No,No,No,Large or Very Large,Public,NA
R151,F,Western European,I do not include bioinformatics in my teaching and do not plan to do so,Maybe,NA,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,Moderate challenge,Minor challenge,Severe challenge,NA,Moderate challenge,NA,NA,NA,Severe challenge,Minor challenge,Master's Colleges & Universities,4,Doctoral/Professional Universities,non-URM,1,2,1,2000-2009,no training/experience,Yes,Yes,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R153,F,Hispanic,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,a bioinformatics-specific course,Yes,neither,yes,I AGREE to participate.,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,NA,Severe challenge,Severe challenge,NA,Moderate challenge,Severe challenge,Severe challenge,Severe challenge,Severe challenge,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,URM,0,2,0,2000-2009,self-taught,No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R154,F,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",No,"a bioinformatics-specific course,a bioinformatics major",Yes,neither,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,Severe challenge,Moderate challenge,Moderate challenge,NA,NA,NA,NA,NA,NA,NA,Master's Colleges & Universities,4,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,no training/experience,No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R155,F,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year)",Yes,NA,No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Associate's Colleges,1,NA,non-URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp",No,No,No,Medium,Public,"Masters degree or equivalent (e.g., MS, MBA, MA, etc)"
R157,M,Hispanic,I teach a dedicated upper-level (3rd/4th) bioinformatics course(s),Yes,NA,Yes,neither,yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,NA,NA,NA,NA,NA,NA,NA,Moderate challenge,Moderate challenge,NA,Master's Colleges & Universities,4,Special Focus Four-Year,URM,1,2,1,2020 or later,graduate degree,Yes,Yes,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R159,M,Western European,I do not include bioinformatics in my teaching and do not plan to do so,Yes,a bioinformatics-specific course,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,self-taught,No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R161,F,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",No,a bioinformatics-specific course,No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's Colleges & Universities,4,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,"self-taught,undergraduate course(s),graduate course(s)",No,No,No,Small or Very Small,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R162,F,Hispanic,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in an upper-level courses (3rd/4th year)",NA,NA,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's Colleges & Universities,4,NA,URM,1,2,1,NA,NA,Yes,Yes,No,Large or Very Large,Public,NA
R165,M,Western European,I teach a dedicated upper-level (3rd/4th) bioinformatics course(s),Maybe,"a bioinformatics-specific course,a bioinformatics certificate",No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp,graduate degree",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R166,M,Hispanic,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,"a bioinformatics-specific course,a bioinformatics certificate",No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,NA,URM,0,2,0,2000-2009,"self-taught,online course(s) (i.e., Coursera)",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R171,F,Western European,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in a lower-level courses (1st/2nd year)",Yes,a bioinformatics-specific course,Yes,"yes, part of a CURE,yes, part of a SURE",yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,Minor challenge,Minor challenge,Moderate challenge,NA,NA,NA,Minor challenge,NA,Severe challenge,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp,graduate course(s)",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R173,F,South Asian,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year),I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year),I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,NA,Yes,neither,yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,NA,NA,NA,Moderate challenge,NA,NA,NA,Moderate challenge,Severe challenge,Severe challenge,Baccalaureate Colleges,5,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,self-taught,No,No,No,Small or Very Small,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R174,U,East Asian,I do not include bioinformatics in my teaching and do not plan to do so,Yes,NA,Yes,NA,yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,NA,NA,Severe challenge,Moderate challenge,Moderate challenge,NA,NA,NA,Severe challenge,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,"self-taught,post-graduate certificate",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
